city,country,date,max_temp,cloudiness,humidity,wind_speed,lat,lng
Gushikawa,JP,1600396112,87.8,1,79,9.17,26.35,127.87
Guánica,PR,1600396216,82.0,36,84,4.47,17.97,-66.91
Haines Junction,CA,1600396198,47.23,98,59,11.5,60.75,-137.51
Hambantota,LK,1600395970,82.4,40,88,12.75,6.12,81.12
Hamilton,US,1600396205,66.99,1,68,9.17,39.18,-84.53
Hantsport,CA,1600396113,60.01,58,95,5.68,45.07,-64.17
Hasaki,JP,1600396192,90.0,75,70,18.34,35.73,140.83
Hauterive,FR,1600396181,64.4,0,67,3.36,46.09,3.45
Havelock,US,1600396145,79.0,75,94,6.93,34.88,-76.9
Havre-St-Pierre,CA,1600396213,37.4,1,62,8.05,50.23,-63.6
Hay River,CA,1600396132,51.8,40,62,5.82,60.82,-115.8
Hearst,CA,1600396228,32.67,0,92,4.74,49.68,-83.67
Helena,US,1600396199,66.2,1,37,8.05,46.59,-112.04
Hermanus,ZA,1600396110,52.0,21,89,1.99,-34.42,19.23
Hilo,US,1600395964,82.4,75,65,12.75,19.73,-155.09
Hilvarenbeek,NL,1600396221,51.8,3,71,8.05,51.49,5.14
Hirara,JP,1600396156,87.8,75,79,11.41,24.8,125.28
Hithadhoo,MV,1600396116,82.36,53,79,9.84,-0.6,73.08
Hobart,AU,1600395915,59.0,20,40,8.05,-42.88,147.33
Hobyo,SO,1600396193,76.32,0,87,17.6,5.35,48.53
Hofn,IS,1600395963,48.78,0,67,5.1,64.25,-15.21
Hong Kong,HK,1600395882,86.0,96,81,3.0,22.29,114.16
Honiara,SB,1600395889,87.8,75,62,11.41,-9.43,159.95
Honningsvåg,NO,1600396123,45.97,100,79,26.75,70.98,25.97
Hualmay,PE,1600396158,59.61,5,84,5.61,-11.1,-77.61
Huntsville,US,1600395830,75.99,1,69,10.29,34.73,-86.59
Husavik,IS,1600396155,50.0,20,61,11.41,66.04,-17.34
Ibrā’,OM,1600396206,81.91,0,35,2.93,22.69,58.53
Illapel,CL,1600396253,61.38,0,63,1.32,-31.63,-71.17
